method,fraction,seed,epochs,best_epoch,learning_rate,accuracy,f1_macro,run_id,test_accuracy,test_f1_macro,test_selection
full_ft,0.01,42,3,3.0,2e-05,0.7044233154195949,0.7059262852250723,full_ft_frac0.01_seed42,,,
lora,0.01,42,8,5.0,0.0002,0.7255064076064489,0.7269207646431858,lora_frac0.01_seed42,0.6265577119509704,0.6251299881766196,trainer_best
full_ft,0.01,7,3,2.0,2e-05,0.6969822240595287,0.6976234927623817,full_ft_frac0.01_seed7,,,
lora,0.01,7,8,4.0,0.0002,0.6928482844150475,0.6948432516149304,lora_frac0.01_seed7,,,
full_ft,0.05,42,3,3.0,2e-05,0.7581645307978504,0.7597372114837294,full_ft_frac0.05_seed42,,,
lora,0.05,42,8,8.0,0.0002,0.767259198015709,0.768416807917736,lora_frac0.05_seed42,,,
full_ft,0.05,7,3,2.0,2e-05,0.7643654402645721,0.7661327647637489,full_ft_frac0.05_seed7,,,
full_ft,0.1,42,3,3.0,2e-05,0.7726333195535345,0.7741640598337277,full_ft_frac0.1_seed42,,,
lora,0.1,42,8,4.0,0.0002,0.7837949565936337,0.7841509392109036,lora_frac0.1_seed42,,,
full_ft,0.1,7,3,3.0,2e-05,0.7722199255890864,0.7730560801708243,full_ft_frac0.1_seed7,,,
lora,0.1,7,8,5.0,0.0002,0.7837949565936337,0.785124141065952,lora_frac0.1_seed7,,,
full_ft,0.25,42,2,2.0,2e-05,0.7982637453493179,0.799351142219547,full_ft_frac0.25_seed42,,,
lora,0.25,42,4,3.0,0.0002,0.7883422902025631,0.789166041014513,lora_frac0.25_seed42,,,
full_ft,0.25,7,2,2.0,2e-05,0.7970235634559736,0.7978008527281159,full_ft_frac0.25_seed7,,,
lora,0.25,7,4,4.0,0.0002,0.7970235634559736,0.7977795275281495,lora_frac0.25_seed7,,,
full_ft,0.5,42,2,2.0,2e-05,0.8214138073584125,0.8219753043574384,full_ft_frac0.5_seed42,,,
lora,0.5,42,4,4.0,0.0002,0.7974369574204216,0.7983785828717999,lora_frac0.5_seed42,,,
full_ft,0.5,7,2,2.0,2e-05,0.8205870194295163,0.8211745477013216,full_ft_frac0.5_seed7,,,
lora,0.5,7,4,4.0,0.0002,0.8011575031004547,0.8019942042302414,lora_frac0.5_seed7,,,
full_ft,1.0,42,2,2.0,2e-05,0.8280281107895825,0.8287202415348869,full_ft_frac1.0_seed42,,,
lora,1.0,42,4,4.0,0.0002,0.812732534105002,0.8135506783251656,lora_frac1.0_seed42,,,
full_ft,1.0,7,2,1.0,2e-05,0.8222405952873088,0.822029561397525,full_ft_frac1.0_seed7,,,
lora,1.0,7,4,3.0,0.0002,0.8098387763538653,0.8104635521518647,lora_frac1.0_seed7,0.81511746680286,0.8155031003182088,trainer_best
lora,0.05,7,8,3.0,0.0002,0.7589913187267466,0.7594500904043899,lora_frac0.05_seed7,0.7660878447395302,0.7660191923419069,trainer_best
